Sum of co2_per_capita,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Israel,8.053,7.877,8.854,8.974,9.299,9.46,9.575,9.856,9.828,9.4,10.01,10.399,9.612,9.941,9.174,8.657,9.303,9.172,9.683,8.882,9.295,9.162,9.821,8.162,7.684,7.893,7.55,7.142,7.224,7.324,6.51
Italy,7.705,7.692,7.688,7.546,7.442,7.868,7.781,7.904,8.141,8.233,8.299,8.274,8.359,8.616,8.655,8.618,8.488,8.351,8.128,7.186,7.352,7.12,6.738,6.147,5.787,5.964,5.902,5.816,5.757,5.611,5.025
Jamaica,3.11,3.178,3.132,3.22,3.264,3.621,3.786,3.896,3.716,3.782,3.885,3.954,3.789,3.937,3.88,3.802,4.203,3.883,3.875,2.838,2.732,2.921,2.784,2.971,2.677,2.766,2.809,2.67,2.739,2.729,2.509
Japan,9.301,9.363,9.41,9.326,9.736,9.81,9.882,9.81,9.479,9.751,9.915,9.786,10.002,10.054,10.006,10.055,9.869,10.142,9.587,9.048,9.451,9.843,10.17,10.251,9.86,9.559,9.422,9.318,8.989,8.718,8.15
Jordan,2.938,2.634,3.013,2.802,3.004,2.878,2.921,2.903,2.883,2.835,2.967,2.992,3.088,3.125,3.346,3.545,3.426,3.427,3.16,3.095,2.839,2.772,2.944,2.795,2.903,2.758,2.548,2.612,2.535,2.549,2.498
Kazakhstan,17.179,16.594,15.167,13.571,11.588,11.262,10.488,10.098,9.885,8.321,9.988,9.63,10.753,11.852,12.364,13.102,14.219,14.492,14.416,13.907,15.325,14.533,14.676,14.902,16.127,16.423,16.19,17.03,17.319,15.949,15.516
Kenya,0.24,0.192,0.213,0.238,0.238,0.267,0.32,0.276,0.327,0.322,0.325,0.281,0.232,0.19,0.209,0.228,0.248,0.246,0.249,0.293,0.279,0.299,0.27,0.28,0.295,0.34,0.35,0.325,0.351,0.349,0.3
Kiribati,0.304,0.298,0.343,0.387,0.382,0.377,0.372,0.366,0.359,0.353,0.391,0.342,0.462,0.495,0.526,0.635,0.699,0.607,0.668,0.544,0.57,0.525,0.482,0.476,0.536,0.496,0.488,0.578,0.569,0.578,0.57
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,18.043,7.343,15.503,27.716,33.282,33.993,30.681,31.966,28.158,27.578,26.104,27.331,27.132,27.583,28.679,31.348,30.918,29.902,30.985,30.824,29.838,27.229,29.883,23.169,20.45,23.816,25.49,23.457,23.101,22.974,20.825
Kuwaiti Oil Fires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,4.429,3.621,2.488,1.896,1.36,0.988,1.224,1.185,1.236,0.956,0.935,0.778,0.986,1.073,1.153,1.086,1.058,1.257,1.436,1.263,1.164,1.369,1.779,1.685,1.727,1.725,1.588,1.51,1.856,1.717,1.764
Laos,0.12,0.125,0.132,0.132,0.134,0.138,0.152,0.157,0.159,0.162,0.18,0.196,0.212,0.219,0.226,0.232,0.301,0.309,0.352,0.434,0.481,0.499,0.527,0.651,0.67,1.37,2.163,2.684,2.765,4.733,4.652
Latvia,7.379,6.764,5.417,4.616,4.077,3.641,3.716,3.538,3.417,3.205,2.97,3.178,3.224,3.351,3.392,3.468,3.735,3.929,3.776,3.476,4.037,3.731,3.634,3.603,3.548,3.635,3.652,3.698,4.076,4.011,3.591
Lebanon,2.807,2.778,3.162,3.19,3.265,3.473,3.532,4.127,4.41,4.384,4.025,4.111,3.884,4.222,3.766,3.544,3.108,2.883,3.656,4.354,4.037,3.895,4.033,3.748,3.832,3.939,3.947,4.103,3.871,3.888,3.805
Leeward Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0.864,0.877,0.89,0.897,0.9,0.899,0.898,0.899,0.902,0.903,0.91,0.922,0.939,0.957,0.988,1.008,1.024,1.044,1.069,1.114,1.14,1.529,1.535,1.151,1.21,1.089,1.066,1.174,1.225,1.092,1.019
Liberia,0.225,0.182,0.194,0.215,0.213,0.207,0.201,0.195,0.192,0.145,0.148,0.151,0.144,0.152,0.174,0.203,0.202,0.182,0.148,0.126,0.195,0.212,0.233,0.207,0.273,0.269,0.296,0.262,0.225,0.222,0.2
Libya,8.23,9.379,7.961,8.14,9.012,9.232,8.839,8.891,8.815,8.54,8.868,8.903,8.712,8.802,8.866,9.828,9.046,8.365,8.845,8.66,9.786,7.877,8.216,6.632,11.221,9.065,8.238,8.266,7.99,8.043,7.382
Liechtenstein,6.911,7.074,7.003,7.171,6.612,6.612,6.569,6.86,7.096,6.914,6.535,6.4,6.493,6.711,6.659,6.595,6.607,5.7,6.188,5.748,5.3,4.869,5.06,5.211,4.33,4.26,3.972,4.107,3.753,3.903,3.698
Lithuania,9.677,10.237,5.749,4.455,4.33,4.161,4.377,4.245,4.509,3.82,3.392,3.635,3.686,3.717,3.93,4.221,4.37,4.856,4.732,4.118,4.464,4.635,4.71,4.438,4.411,4.543,4.62,4.77,4.889,5.045,5.069
Lower-middle-income countries,1.113,1.1,1.098,1.074,1.04,1.048,1.067,1.078,1.071,1.114,1.136,1.155,1.164,1.196,1.236,1.27,1.306,1.36,1.384,1.42,1.475,1.541,1.599,1.602,1.648,1.673,1.725,1.767,1.831,1.872,1.75
Low-income countries,0.673,0.647,0.578,0.537,0.497,0.46,0.427,0.41,0.395,0.41,0.412,0.409,0.371,0.412,0.408,0.406,0.411,0.41,0.425,0.384,0.372,0.338,0.309,0.278,0.286,0.249,0.253,0.248,0.236,0.258,0.236
Luxembourg,30.969,32.206,31.195,31.135,28.682,22.423,22.226,20.368,18.026,18.847,19.972,20.917,22.499,23.381,26.18,26.4,25.6,23.829,23.04,21.425,22.066,21.379,20.469,19.022,17.738,16.494,15.697,15.646,15.835,15.838,13.059
Macao,3.005,3.088,2.983,3.187,3.365,3.193,3.577,3.706,3.802,3.626,3.812,3.849,3.38,3.328,3.636,3.786,3.28,2.702,2.197,3.592,2.294,2.644,2.288,2.085,2.555,3.368,2.888,3.084,1.926,1.962,1.945
Madagascar,0.08,0.085,0.08,0.079,0.096,0.096,0.096,0.113,0.116,0.119,0.118,0.107,0.074,0.097,0.1,0.094,0.088,0.089,0.089,0.083,0.088,0.11,0.123,0.14,0.134,0.133,0.131,0.161,0.159,0.15,0.133
Malawi,0.079,0.082,0.081,0.091,0.093,0.092,0.09,0.092,0.088,0.085,0.078,0.069,0.072,0.075,0.074,0.072,0.071,0.073,0.079,0.077,0.07,0.076,0.074,0.073,0.063,0.067,0.076,0.077,0.086,0.085,0.073
Malaysia,3.01,3.552,3.84,4.451,4.537,5.561,5.398,5.662,5.166,4.779,5.441,5.651,5.582,6.337,6.792,7.058,6.823,6.828,7.416,7.237,7.655,7.574,7.404,8.229,8.198,7.659,8.166,8.055,8.634,8.722,8.423
Maldives,0.772,0.67,0.977,0.816,0.796,0.98,1.117,1.25,1.119,1.54,1.613,1.612,2.018,1.67,2.142,1.88,2.316,2.328,2.454,2.499,2.555,2.59,2.795,2.627,3.024,2.883,3.021,3.048,3.375,3.379,3.324
Mali,0.05,0.049,0.052,0.055,0.059,0.062,0.066,0.072,0.09,0.091,0.097,0.103,0.104,0.104,0.114,0.114,0.116,0.131,0.139,0.129,0.139,0.147,0.152,0.167,0.183,0.188,0.185,0.191,0.192,0.188,0.167
Malta,6.653,6.179,6.292,7.798,7.143,6.528,6.781,6.739,6.572,6.727,6.466,6.725,6.79,7.432,7.066,6.559,6.561,6.714,6.709,6.154,6.227,6.169,6.544,5.736,5.691,4.016,3.223,3.561,3.502,3.79,3.612
Marshall Islands,,,1.563,1.691,1.678,1.743,1.74,1.743,1.819,1.744,1.949,1.996,2.099,1.987,2.152,2.056,2.168,2.223,2.283,2.345,2.405,2.463,2.39,2.446,2.499,2.488,2.476,2.525,2.509,2.57,2.556
Martinique,4.719,4.359,4.778,5.113,5.458,5.482,5.381,5.253,4.638,4.949,5.073,5.136,5.167,5.527,5.824,6.146,5.978,5.394,5.429,5.794,5.818,5.877,5.865,5.804,5.848,5.983,6.147,6.047,5.997,6.253,6.258
Mauritania,0.42,0.416,0.422,0.422,0.424,0.439,0.448,0.443,0.429,0.428,0.424,0.434,0.45,0.451,0.471,0.475,0.457,0.511,0.538,0.578,0.561,0.586,0.629,0.536,0.636,0.723,0.609,0.833,0.833,0.817,0.726
Mauritius,1.385,1.423,1.577,1.614,1.457,1.62,1.707,1.73,1.861,2.063,2.269,2.397,2.399,2.531,2.541,2.696,2.954,2.987,3.039,2.981,3.136,3.131,3.163,3.24,3.345,3.343,3.444,3.587,3.562,3.448,3.129
Mayotte,0.696,0.746,0.757,0.806,0.835,0.88,0.904,0.908,0.865,1.019,1.076,1.094,1.153,1.142,1.21,1.261,1.322,1.341,1.471,1.449,1.432,1.394,1.34,1.278,1.241,1.228,1.223,1.169,1.13,1.148,1.12
Mexico,3.777,3.861,3.822,3.815,3.899,3.618,3.712,3.896,4.043,4.006,4.005,4.095,4.051,4.247,4.199,4.377,4.431,4.395,4.449,4.232,4.065,4.185,4.232,4.125,3.998,3.955,3.915,3.685,3.608,3.414,2.769
Micronesia (country),,,1.012,0.987,1.002,1.056,1.049,1.115,1.117,1.156,1.194,1.333,1.267,1.371,1.34,1.139,1.148,1.263,1.062,1.423,0.997,1.133,1.192,1.28,1.262,1.312,1.296,1.282,1.269,1.294,1.282
Moldova,8.392,6.773,4.793,3.625,2.851,2.628,2.708,1.703,1.514,1.108,0.85,0.904,0.97,1.055,1.107,1.187,1.213,1.205,1.262,1.108,1.182,1.212,1.169,1.202,1.168,1.175,1.206,1.286,1.341,1.275,1.276
Mongolia,4.528,5.465,4.9,4.093,3.476,3.438,3.463,3.292,3.263,3.171,3.123,3.253,3.382,3.244,3.433,3.394,3.676,4.657,4.566,4.89,5.081,7.734,12.402,15.115,10.063,7.752,8.287,11.004,14.995,27.5,26.978
Montenegro,3.114,2.201,2.403,2.09,2.027,2.139,2.506,2.701,2.852,1.972,2.479,2.719,2.88,3.076,3.318,2.84,3.339,3.318,4.193,2.7,3.88,3.85,3.536,3.434,3.362,3.571,3.213,3.351,3.823,4.212,3.678
Montserrat,2.761,2.758,2.75,2.766,3.182,3.348,4.065,4.16,4.346,6.436,5.208,5.664,10.75,8.083,10.128,8.324,8.242,8.198,9.709,8.99,12.725,8.204,8.918,10.401,9.619,11.805,5.888,5.875,5.871,5.732,5.065
Morocco,0.899,0.938,0.962,1.024,1.058,1.065,1.078,1.08,1.099,1.124,1.153,1.264,1.267,1.228,1.402,1.466,1.501,1.57,1.629,1.593,1.681,1.674,1.713,1.679,1.672,1.689,1.664,1.732,1.729,1.87,1.748
Mozambique,0.076,0.071,0.075,0.083,0.072,0.072,0.068,0.071,0.066,0.068,0.075,0.085,0.082,0.096,0.094,0.086,0.091,0.101,0.098,0.106,0.112,0.128,0.12,0.14,0.3,0.233,0.293,0.29,0.234,0.24,0.21
Myanmar,0.102,0.099,0.114,0.124,0.143,0.157,0.162,0.165,0.176,0.193,0.215,0.184,0.192,0.203,0.255,0.236,0.259,0.258,0.195,0.202,0.258,0.296,0.231,0.25,0.309,0.42,0.48,0.464,0.608,0.667,0.668
Namibia,,0.715,0.758,0.893,0.988,0.995,1.035,1.042,1.05,0.943,0.894,1.103,0.966,1.002,1.033,1.193,1.186,1.176,1.632,1.468,1.456,1.29,1.529,1.15,1.618,1.664,1.718,1.755,1.665,1.636,1.526
Nauru,13.105,12.756,12.055,11.042,10.473,10,9.609,9.639,9.362,8.766,8.154,7.888,7.617,6.602,6.658,6.325,4.474,4.466,4.45,4.053,4.393,4.003,4.338,4.666,4.986,5.298,4.898,5.196,5.147,5.263,5.236
Nepal,0.038,0.053,0.062,0.068,0.077,0.107,0.106,0.117,0.096,0.136,0.127,0.133,0.105,0.112,0.102,0.116,0.094,0.097,0.126,0.154,0.179,0.193,0.203,0.231,0.282,0.252,0.358,0.422,0.487,0.593,0.582
Netherlands,10.812,11.3,11.21,11.148,11.112,11.139,11.659,11.146,11.144,10.731,10.742,11.001,10.898,11.049,11.107,10.81,10.468,10.413,10.554,10.197,10.882,10.053,9.808,9.777,9.333,9.694,9.712,9.553,9.322,8.984,8.06
New Caledonia,9.254,10.088,8.813,9.964,10.465,10.673,11.017,8.945,8.699,9.66,10.22,8.472,10.609,11.889,10.799,11.883,11.281,12.028,11.545,11.727,14.028,13.77,13.957,14.565,18.202,17.473,19.385,19.286,20.663,30.791,30.448
New Zealand,7.548,7.641,8.071,7.817,7.735,7.66,7.903,8.348,7.91,8.26,8.38,8.826,8.745,9.025,8.811,9.081,8.969,8.66,8.815,8.068,8.016,7.807,8.087,7.813,7.779,7.817,7.363,7.625,7.546,7.839,6.942
Nicaragua,0.49,0.465,0.544,0.511,0.552,0.592,0.6,0.645,0.691,0.721,0.734,0.762,0.764,0.819,0.816,0.785,0.801,0.814,0.77,0.774,0.767,0.814,0.76,0.762,0.774,0.873,0.854,0.862,0.817,0.867,0.766
Niger,0.075,0.069,0.062,0.068,0.063,0.059,0.065,0.064,0.066,0.062,0.061,0.056,0.057,0.06,0.062,0.052,0.049,0.049,0.053,0.061,0.071,0.077,0.099,0.102,0.108,0.102,0.099,0.093,0.083,0.08,0.07
Nigeria,0.408,0.429,0.462,0.436,0.332,0.31,0.332,0.361,0.324,0.332,0.645,0.692,0.733,0.758,0.729,0.762,0.686,0.644,0.631,0.485,0.709,0.796,0.696,0.711,0.725,0.626,0.623,0.598,0.653,0.647,0.609
Niue,3.142,3.197,3.241,3.289,3.329,3.391,3.45,3.542,3.648,3.752,3.853,3.976,4.082,2.096,2.139,2.171,2.198,2.225,4.487,2.259,2.259,4.529,4.563,4.563,6.84,4.552,4.549,4.546,6.827,7.02,7.012
North America,14.126,13.827,13.941,14.009,14.111,14.068,14.376,14.44,14.398,14.413,14.746,14.385,14.336,14.416,14.46,14.397,14.111,14.165,13.592,12.526,12.773,12.45,11.978,12.106,12.063,11.704,11.353,11.155,11.366,11.056,9.805
North America (excl. USA),5.078,5.012,5.013,4.968,5.068,4.988,5.106,5.255,5.314,5.352,5.478,5.466,5.45,5.621,5.531,5.583,5.59,5.656,5.575,5.271,5.233,5.301,5.276,5.206,5.104,5.083,4.953,4.825,4.803,4.72,4.118
North Korea,6.032,5.688,4.918,4.461,4.019,3.717,3.24,2.917,2.608,2.82,3.016,3.098,2.941,2.979,3.022,3.134,3.167,2.624,2.893,2.193,2.038,1.467,1.515,1.084,1.219,0.978,1.162,0.856,0.692,1.145,1.137
North Macedonia,7.106,5.034,5.524,5.103,5.316,5.363,5.873,5.29,6.248,5.763,5.895,5.838,5.304,5.467,5.399,5.426,5.252,4.543,4.496,4.153,4.105,4.438,4.211,3.743,3.59,3.378,3.358,3.604,3.372,3.828,3.43
Norway,8.264,7.856,8.03,8.341,8.733,8.821,9.468,9.446,9.418,9.532,9.373,9.625,9.376,9.63,9.647,9.365,9.41,9.686,9.398,8.964,9.353,9.057,8.844,8.788,8.766,8.773,8.532,8.378,8.331,7.969,7.615
Oceania,11.547,11.491,11.488,11.492,11.644,11.759,11.934,12.201,12.385,12.529,12.576,12.767,12.835,12.934,13.168,13.034,13.094,13.022,12.979,12.438,12.327,12.139,11.912,11.478,11.517,11.47,11.597,11.442,11.327,11.26,10.486
Oman,6.193,6.123,5.996,6.382,7.007,7.131,6.654,6.778,7.239,9.116,9.496,8.761,10.808,13.422,11.283,11.734,15.13,16.548,15.307,14.135,15.425,16.448,16.858,16.276,15.066,14.495,13.464,14.125,12.552,12.212,12.173
Pakistan,0.63,0.609,0.632,0.659,0.698,0.676,0.734,0.716,0.717,0.717,0.741,0.734,0.755,0.767,0.83,0.841,0.876,0.929,0.905,0.884,0.859,0.844,0.822,0.787,0.8,0.849,1.017,1.125,1.123,1.082,1.063
Palau,15.568,15.186,12.476,12.15,11.823,11.531,11.242,10.982,10.748,10.539,10.932,11.149,10.819,10.726,10.884,11.112,11.623,13.196,10.968,10.818,11.632,12.18,12.674,12.905,12.473,11.615,11.994,12.139,11.865,12.169,12.125
Palestine,0.41,0.403,0.4,0.391,0.387,0.361,0.378,0.301,0.487,0.438,0.515,0.407,0.342,0.372,0.626,0.766,0.618,0.618,0.532,0.528,0.501,0.541,0.518,0.562,0.64,0.663,0.697,0.688,0.608,0.599,0.568
Panama,1.065,1.23,1.596,1.439,1.556,1.333,1.59,1.622,2.026,1.892,1.89,2.25,1.848,1.898,1.747,2.093,2.218,2.128,2.086,2.364,2.49,2.685,2.591,2.741,2.782,2.741,2.615,2.73,2.569,2.895,2.498
Panama Canal Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0.467,0.459,0.453,0.443,0.43,0.397,0.412,0.473,0.513,0.428,0.456,0.537,0.571,0.634,0.706,0.675,0.648,0.898,0.687,0.712,0.638,0.699,0.652,0.684,0.761,0.785,0.802,0.756,0.745,0.754,0.744
Paraguay,0.506,0.485,0.58,0.64,0.73,0.824,0.761,0.826,0.858,0.839,0.677,0.681,0.697,0.716,0.709,0.649,0.661,0.674,0.704,0.735,0.804,0.821,0.806,0.794,0.827,0.905,1.06,1.176,1.223,1.21,1.061
Peru,0.97,0.922,0.914,1.02,0.996,1.015,0.979,1.082,1.076,1.119,1.138,1.007,0.997,0.958,1.148,1.325,1.012,1.224,1.429,1.782,1.97,1.672,1.832,1.446,1.643,1.61,1.705,1.708,1.708,1.691,1.356
Philippines,0.668,0.685,0.743,0.735,0.794,0.859,0.858,0.959,0.914,0.893,0.928,0.882,0.862,0.845,0.859,0.849,0.757,0.792,0.85,0.828,0.883,0.876,0.909,0.969,1.007,1.098,1.179,1.283,1.319,1.356,1.241
Poland,9.926,9.816,9.549,9.541,9.391,9.436,9.804,9.535,8.8,8.544,8.24,8.145,7.966,8.314,8.448,8.428,8.794,8.779,8.615,8.261,8.737,8.732,8.546,8.455,8.146,8.24,8.538,8.897,8.887,8.433,7.916
Portugal,4.581,4.755,5.123,4.951,5.005,5.405,5.115,5.377,5.803,6.525,6.38,6.311,6.716,6.199,6.446,6.634,6.158,5.906,5.674,5.396,5.003,4.902,4.748,4.6,4.604,5.043,4.887,5.368,5.021,4.658,3.961
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,23.959,35.663,54.058,61.188,59.767,60.957,60.606,68.724,57.512,53.911,57.407,67.012,63.511,60.576,56.697,58.574,61.794,51.624,44.726,41.45,38.743,39.122,42.031,35.392,36.767,35.132,33.494,36.612,38.44,40.619,37.019
Reunion,2.034,2.626,2.79,2.731,2.821,3.064,3.315,3.667,3.713,4.01,4.321,4.422,4.385,4.077,4.181,4.665,4.894,5.08,5.238,5.278,5.402,5.373,5.272,5.128,5.081,5.124,5.202,5.069,4.987,5.161,5.124
Romania,7.275,5.977,5.571,5.204,5.154,5.411,5.594,5.154,4.632,3.951,4.172,4.45,4.487,4.72,4.716,4.681,4.86,4.819,4.733,3.952,3.807,4.231,4.147,3.713,3.773,3.832,3.746,3.928,3.979,3.865,3.715
Russia,17.118,16.191,13.205,12.534,11.066,10.883,10.677,9.987,9.897,10.117,10.049,10.339,10.3,10.55,10.624,10.772,11.203,11.2,11.427,10.668,11.243,11.588,11.668,11.221,11.216,11.195,11.142,11.314,11.608,11.513,10.807
Rwanda,0.072,0.067,0.072,0.077,0.078,0.078,0.077,0.075,0.069,0.067,0.065,0.064,0.062,0.06,0.059,0.058,0.057,0.058,0.055,0.057,0.057,0.063,0.068,0.072,0.075,0.081,0.089,0.088,0.093,0.094,0.08
Ryukyu Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,1.101,1.115,1.13,1.719,1.743,1.76,1.773,1.777,1.783,1.795,1.816,1.849,1.896,1.948,2.003,2.053,2.089,2.12,2.133,2.141,2.121,2.081,2.03,1.969,1.916,1.873,2.46,1.83,1.82,1.77,1.564
Saint Kitts and Nevis,2.639,2.631,2.701,2.761,2.905,3.048,3.106,3.334,3.475,3.696,3.906,3.943,4.38,4.325,4.588,4.223,4.258,4.525,4.487,4.599,4.486,4.669,4.407,4.441,4.546,4.58,4.613,4.647,4.682,4.535,3.986
Saint Lucia,1.301,1.335,1.499,1.635,1.793,1.871,1.969,1.942,2.107,2.151,2.221,2.27,2.253,2.351,2.491,2.377,2.481,2.535,2.5,2.468,2.799,2.776,2.779,2.745,2.712,2.68,2.707,2.794,2.8,2.72,2.396
Saint Pierre and Miquelon,14.346,15.968,14.804,11.409,10.85,10.896,10.92,7.482,8.655,8.691,8.727,8.787,9.445,10.128,9.582,10.189,10.706,10.603,10.492,10.398,10.368,10.43,10.551,10.693,10.86,11.007,11.116,11.207,10.03,9.83,8.738
Saint Vincent and the Grenadines,0.75,0.782,0.781,0.95,1.119,1.187,1.222,1.222,1.495,1.53,1.36,1.664,1.729,1.827,2.026,2.024,1.99,2.161,2.028,2.571,2.031,1.996,2.129,2.024,2.322,2.149,2.209,1.968,2.194,2.134,1.883
Samoa,0.54,0.581,0.598,0.614,0.565,0.668,0.728,0.724,0.827,0.781,0.819,0.877,0.914,0.888,0.923,0.938,0.952,0.986,0.88,0.913,0.985,1.016,0.988,1.018,1.048,1.174,1.224,1.257,1.214,1.246,1.239
Sao Tome and Principe,0.4,0.391,0.382,0.375,0.368,0.362,0.356,0.351,0.346,0.34,0.335,0.354,0.398,0.438,0.477,0.489,0.521,0.507,0.492,0.521,0.548,0.536,0.622,0.63,0.599,0.606,0.613,0.619,0.625,0.587,0.514
Saudi Arabia,12.843,17.203,18.294,19.177,18.015,14.079,13.569,11.12,10.476,11.19,14.342,13.988,14.937,14.54,17.058,16.621,17.605,15.347,16.7,17.493,18.88,17.605,19.317,17.996,19.705,21.278,19.698,19.316,18.454,18.163,17.967
Senegal,0.417,0.436,0.428,0.43,0.454,0.395,0.411,0.348,0.357,0.377,0.398,0.424,0.432,0.467,0.485,0.499,0.388,0.416,0.395,0.426,0.541,0.6,0.549,0.57,0.616,0.675,0.668,0.697,0.715,0.691,0.624
Serbia,5.931,4.021,4.414,3.841,3.684,3.882,4.546,4.939,5.246,3.656,4.738,5.111,5.459,5.894,6.384,5.616,6.652,6.544,5.715,5.086,5.082,5.462,4.891,4.994,4.179,4.928,5.086,5.156,5.028,5.624,4.937
Seychelles,2.129,2.41,2.37,2.473,2.671,2.581,3.022,3.507,3.661,3.806,3.89,4.179,4.14,3.971,4.235,4.298,4.297,4.474,4.578,4.843,4.857,4.426,4.59,4.433,4.9,5.054,5.589,5.776,5.736,5.945,4.994
Sierra Leone,0.12,0.134,0.073,0.074,0.081,0.054,0.071,0.052,0.055,0.044,0.072,0.091,0.101,0.103,0.096,0.075,0.099,0.081,0.082,0.08,0.084,0.108,0.124,0.147,0.158,0.122,0.124,0.122,0.124,0.123,0.11
Singapore,14.449,14.264,14.827,15.023,17.591,11.499,13.197,15.121,12.281,12.441,12.012,12.067,11.474,11.973,11.218,8.549,9.778,10.378,12.055,18.141,11.034,5.751,8.966,9.969,9.992,11.11,7.124,6.844,7.99,7.874,7.778
Sint Maarten (Dutch part),19.142,14.744,11.905,18.195,17.339,17.041,15.804,16.384,0.896,6.653,17.521,17.723,16.979,16.885,17.638,17.432,18.159,20.471,19.68,20.002,13.569,16.874,19.211,19.012,18.852,18.885,18.674,18.124,17.212,16.62,14.539
Slovakia,11.624,10.036,9.172,8.665,8.155,8.218,8.179,8.193,8.143,7.978,7.622,8.008,7.773,7.835,7.924,7.926,7.883,7.59,7.663,6.968,7.108,7.025,6.634,6.549,6.188,6.331,6.405,6.614,6.607,6.189,5.629
Slovenia,7.517,6.954,6.918,7.115,7.331,7.705,8.039,8.305,8.068,7.751,7.568,8.196,8.327,8.174,8.381,8.474,8.565,8.605,9.021,7.954,8.042,7.963,7.647,7.322,6.549,6.577,6.955,7.028,6.975,6.738,6.043
Solomon Islands,0.47,0.491,0.488,0.507,0.524,0.53,0.535,0.54,0.553,0.538,0.542,0.553,0.564,0.574,0.599,0.6,0.602,0.61,0.611,0.619,0.625,0.636,0.626,0.654,0.562,0.486,0.467,0.449,0.443,0.445,0.435
Somalia,0.101,0.097,0.093,0.088,0.085,0.079,0.074,0.068,0.062,0.057,0.054,0.055,0.062,0.06,0.059,0.057,0.055,0.055,0.053,0.051,0.051,0.049,0.048,0.048,0.047,0.046,0.045,0.044,0.042,0.043,0.035
South Africa,8.505,8.645,7.793,8.084,8.348,8.728,8.61,8.967,8.638,8.454,8.412,8.152,7.722,8.651,9.496,8.687,9.211,9.463,9.937,9.95,9.117,9.114,8.728,8.491,8.812,8.135,8.269,8.142,8.032,8.127,7.62
South America,2.016,2.005,2.009,2.087,2.106,2.169,2.215,2.309,2.429,2.445,2.358,2.355,2.366,2.366,2.362,2.426,2.427,2.474,2.621,2.553,2.758,2.784,2.895,3.012,3.012,2.922,2.799,2.755,2.577,2.494,2.308
South Korea,5.836,6.356,6.842,7.45,7.939,8.472,9.204,9.637,8.118,8.741,9.298,9.564,9.933,10.069,10.151,10.258,10.321,10.664,10.858,10.927,12.021,12.545,12.564,12.628,12.46,12.498,12.539,12.834,13.125,12.65,11.656
South Sudan,0.079,0.075,0.068,0.048,0.067,0.07,0.07,0.083,0.069,0.071,0.074,0.082,0.101,0.109,0.132,0.121,0.126,0.141,0.142,0.141,0.138,0.13,0.132,0.139,0.144,0.178,0.157,0.133,0.122,0.126,0.105
Spain,5.897,6.131,6.339,6.101,6.397,6.722,6.387,6.68,6.867,7.404,7.627,7.584,7.954,7.928,8.188,8.398,8.064,8.113,7.31,6.384,6.049,6.047,5.927,5.385,5.453,5.821,5.592,5.888,5.776,5.381,4.468
Sri Lanka,0.221,0.236,0.288,0.278,0.3,0.319,0.38,0.407,0.417,0.456,0.54,0.546,0.574,0.57,0.627,0.611,0.599,0.612,0.6,0.643,0.644,0.73,0.769,0.71,0.851,0.948,1.095,1.09,0.989,1.07,0.986
St. Kitts-Nevis-Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,0.237,0.214,0.184,0.122,0.162,0.162,0.162,0.194,0.165,0.174,0.185,0.208,0.258,0.281,0.347,0.324,0.347,0.399,0.412,0.42,0.417,0.396,0.402,0.436,0.438,0.518,0.485,0.532,0.507,0.515,0.43
Suriname,4.288,4.898,4.827,4.761,4.694,4.664,4.646,4.634,4.576,4.561,4.655,4.958,3.235,3.152,3.151,3.18,3.441,3.436,3.742,3.812,4.528,4.073,4.868,5.014,5.076,4.833,4.029,4.337,4.365,4.335,3.791
Sweden,6.697,6.696,6.619,6.578,6.82,6.724,7.151,6.568,6.62,6.295,6.16,6.253,6.346,6.389,6.284,5.962,5.904,5.781,5.509,5.074,5.658,5.203,4.902,4.7,4.471,4.465,4.398,4.3,4.222,4.079,3.826
Switzerland,6.637,6.866,6.773,6.348,6.151,6.206,6.266,6.089,6.291,6.247,6.106,6.28,6.02,6.143,6.177,6.199,6.084,5.754,5.866,5.644,5.769,5.183,5.276,5.326,4.781,4.668,4.677,4.516,4.324,4.277,3.732
Syria,2.976,3.293,3.227,3.334,3.311,2.872,2.868,2.99,3.19,3.233,3.076,2.871,2.25,3.077,2.826,2.717,2.772,3.306,3.236,2.903,2.842,2.741,2.311,1.748,1.648,1.565,1.665,1.875,1.792,1.816,1.745
Taiwan,6.058,6.46,6.813,7.308,7.599,7.908,8.226,8.818,9.215,9.515,10.333,10.4,10.675,11.08,11.426,11.735,12.1,12.204,11.582,10.929,11.651,11.874,11.683,11.69,11.762,11.709,11.843,12.03,11.921,11.581,11.47
